species,long,short,version,platform,type,folder,bioproject,species2,base,nseq,size,libray,type,model,taxon,coverage,down,dummy,genomesize,host,inref,min_read,plastid,range1,range2,range3,dimred,readsel,bench_ptgaul,bench_pmat,bench_tippo,bench_oatk,ptgaul_ref,mt_ref,random,random_seed,status
Phaseolus_coccineus-0,SRR25544762,NA,3,PACBIO_SMRT,NA,Phaseolus_coccineus,PRJNA1002813,Phaseolus_coccineus,70377332195,15143,44832,WGS,GENOMIC,Sequel II,Phaseolus coccineus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Phaseolus coccineus,791,791,done
Jasminum_sambac-0,SRR17758539,NA,3,PACBIO_SMRT,NA,Jasminum_sambac,PRJNA795621,Jasminum_sambac,43199582591,17971,34162,WGS,GENOMIC,Sequel II,Jasminum sambac,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Jasminum sambac,951,951,done
Juglans_californica-0,SRR19251722,NA,3,PACBIO_SMRT,NA,Juglans_californica,PRJNA838999,Juglans_californica,31609938032,16250,23900,WGS,GENOMIC,Sequel II,Juglans californica,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Juglans californica,983,983,done
Camellia_meiocarpa-0,SRR30589052,NA,3,PACBIO_SMRT,NA,Camellia_meiocarpa,PRJNA1155848,Camellia_meiocarpa,111854757790,17197,43209,WGS,GENOMIC,Sequel II,Camellia meiocarpa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Camellia meiocarpa,873,873,done
Glycyrrhiza_uralensis-0,DRR400303,NA,3,PACBIO_SMRT,NA,Glycyrrhiza_uralensis,PRJDB14223,Glycyrrhiza_uralensis,15437508160,21503,12880,WGS,GENOMIC,Sequel II,Glycyrrhiza uralensis,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Glycyrrhiza uralensis,727,727,done
Sesbania_cannabina-0,SRR25605565,NA,3,PACBIO_SMRT,NA,Sesbania_cannabina,PRJNA1004350,Sesbania_cannabina,177183379439,18024,70315,WGS,GENOMIC,Sequel II,Sesbania cannabina,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Sesbania cannabina,279,279,done
Euphorbia_peplus-0,SRR19901591,NA,3,PACBIO_SMRT,NA,Euphorbia_peplus,PRJNA837952,Euphorbia_peplus,22771179420,17989,16023,WGS,GENOMIC,Sequel II,Euphorbia peplus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,20,NA,Euphorbia peplus,611,611,done
Hordeum_vulgare-0,ERR10660377,NA,3,PACBIO_SMRT,NA,Hordeum_vulgare,PRJEB57567,Hordeum_vulgare,79741851756,12559,51727,WGS,GENOMIC,Sequel II,Hordeum vulgare,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Hordeum vulgare,795,795,done
Oryza_longistaminata-0,SRR33513830,NA,3,PACBIO_SMRT,NA,Oryza_longistaminata,PRJNA1259753,Oryza_longistaminata,27345081097,17645,22036,WGS,GENOMIC,Sequel II,Oryza longistaminata,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Oryza longistaminata,809,809,done
Triticum_aestivum-0,SRR28066005,NA,3,PACBIO_SMRT,NA,Triticum_aestivum,PRJNA1062539,Triticum_aestivum,45691043898,18481,30217,WGS,GENOMIC,Sequel II,Triticum aestivum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Triticum aestivum,817,817,done
